field,validation_regex
tag,".*"
severity,"^(critical|high|medium|low|informational)$"
action,"^(success|failure|allowed|blocked|deferred)$"
dest,"^[\\w\\.-]+$"
src,"^[\\w\\.-]+$"
dvc,"^[\\w\\.-]+$"
*_ip,"^\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}$"
*_port,"^\\d{1,5}$"
*_mac,"^[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}$"
*_zone,"^.{1,50}$"
*_host,"^\\S{1,}$"
direction,"^(inbound|outbound)$"
bytes*,"^\\d+$"
duration,"^\\d+(:?\\.\\d{1,6})?$"
packets*,"^\\d+$"
protocol,"^[a-z0-9]+$"
transport,"^[a-z0-9]+$"
vendor_product,"^[\\w\\s\\-:]+$"
ids_type,"^(network|host|application)$"
category,"^.{3,50}$"
signature,"^.{3,80}$"
*user,"^[\\w\\/\\\\\\-\\.$]{1,20}$"
app,"^[\\w:\\-]+$"
*_nt_domain,"^[\\w\\/\\\\\\-\\.$]{1,20}$"
file_hash,"^[0-9a-fA-F]{32,512}$"
file_name,"^.{1,255}$"
file_path,"^.{5,2555}$"
file_size,"^[\\d\\.]{1,20}( [mMgGbBkKtT][bB])?$"
date,"^[01]\\d-[0123]\\d-[12]\\d{3}$"
http_method,"^(?:GET|POST|HEAD|PUT|DELETE|OPTIONS|TRACE|CONNECT)$"
*_length,"^\\d+$"
channel,"^\\d+$"
url,"^(?:https?|ftp|tcp):\\/{2}.+"
http_referrer,"^(?:https?|ftp|tcp):\\/{2}.+"
http_content_type,"^\\w+\\/[\\w\\-\\+\\.]+$"
cached,"^(?:true|false|1|0)$"
site,"^(?:[a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\\.)+[a-z0-9][a-z0-9-]{0,61}[a-z0-9]$"
status,"(100|101|102|200|201|202|203|204|205|206|207|208|226|300|301|302|303|304|305|306|307|308|400|401|402|403|404|405|406|407|408|409|410|411|412|413|414|415|416|417|418|420|422|423|424|425|426|428|429|431|444|449|450|451|499|500|501|502|503|504|505|506|507|508|509|510|511|598|599)"
cookie,"="
http_user_agent,"^.{1,250}$"
response_time,"^([\\d\\.]{1,})$"
recipient,"^.{1,255}$"
subject,"^.{1,255}$"
policy,"^.{1,255}$"
query_type,"^.{3,80}$"
ids_type,"^.{3,80}$"